"","Geneid","SRR1177998","SRR1178001","SRR1178003","SRR1177993","SRR1177994","SRR1177995","SRR1177966","SRR1177969","SRR1177970"
"2","NM_001270655","0","0","0","0","0","0","0","0","0"
"3","NM_001270656","0","0","0","0","0","0","0","0","0"
"4","NM_019248","0","0","0","0","0","0","0","0","0"
"5","NM_017065","0","0","0","0","0","0","2","0","0"
"6","NM_031069","0","0","2","0","0","0","4","2","0"
"7","NM_001008368","1640","1853","1831","1766","1868","1826","1504","1323","1551"
"8","NM_001106284","13","14","13","117","80","54","90","51","69"
"9","NM_001039611","418","390","394","729","447","476","427","366","367"
"10","NM_001012742","106","98","152","224","258","262","728","525","494"
"11","NM_001105731","16","9","16","7","8","10","11","7","7"
"12","NM_001024899","72","38","54","40","48","67","58","63","53"
"13","NM_001107611","6","6","10","8","18","8","4","4","0"
"14","NM_013070","1467","1688","1403","998","1199","974","352","749","714"
"15","NM_001108458","32","16","22","10","14","8","10","14","5"
"16","NM_001107515","44","32","30","237","214","165","79","85","99"
"17","NM_080894","49","28","44","25","17","23","13","29","23"
"18","NM_001039722","0","0","0","0","0","0","0","0","0"
"19","NM_001190999","80","146","102","100","91","142","68","88","106"
"20","NM_001038601","0","0","0","0","0","0","0","0","0"
"21","NM_012689","268","205","315","91","49","83","54","179","162"
"22","NR_027877","0","0","0","0","0","0","0","0","0"
"23","NM_001038600","0","0","0","0","0","0","0","0","0"
"24","NM_020093","115","131","135","231","194","198","44","39","48"
"25","NM_001101008","146","141","150","149","194","111","311","319","328"
"26","NM_133406","94","62","100","92","43","100","76","54","60"
"27","NM_001106231","48","37","40","31","20","34","49","34","40"
"28","NM_021677","0","0","0","0","0","0","0","0","0"
"29","NM_017156","6","2","4","5","3","2","0","4","2"
"30","NM_031139","1683","1548","1706","1391","1417","1522","1519","1343","1424"
"31","NM_001099476","0","0","0","0","0","0","0","0","0"
"32","NM_001039037","123","114","133","151","96","132","333","392","355"
"33","NM_053557","229","178","196","214","170","254","399","522","482"
"34","NM_199088","0","0","0","5","1","11","3","10","0"
"35","NM_031013","17928","18082","17200","11321","11408","11153","3976","4083","5015"
"36","NM_001127504","2237","2287","3083","2681","2255","2219","1782","1858","1820"
"37","NM_001106268","201","162","220","189","134","186","213","202","166"
"38","NM_001106271","1956","2374","2760","2750","1882","2284","2434","2851","2350"
"39","NM_177481","27","25","45","28","44","73","16","62","45"
"40","NM_031238","555","655","606","379","454","486","346","286","230"
"41","NM_053863","2","4","0","10","4","1","0","0","2"
"42","NM_022282","3","2","6","2","0","0","0","0","2"
"43","NM_001107535","0","0","0","0","0","0","0","0","0"
"44","NM_053554","2958","2798","2357","2963","2321","2212","1888","2646","2746"
"45","NM_001013896","3318","3857","4446","2556","2355","3121","2289","2222","2594"
"46","NM_001191628","7","2","2","0","0","2","0","2","0"
"47","NM_001107536","555","581","483","560","561","530","313","530","461"
"48","NM_139112","2","0","0","2","4","4","4","3","2"
"49","NM_001024751","140","184","182","247","177","138","56","70","98"
"50","NM_172067","56","44","95","8","50","53","34","47","19"
"51","NM_001107542","3932","3979","3903","4326","3332","3700","3912","4998","4930"
"52","NM_012713","62","76","62","21","34","10","10","13","22"
"53","NM_001172305","83","70","90","30","37","31","47","48","47"
"54","NM_001106304","10","11","7","16","9","4","6","4","4"
"55","NM_001013193","1008","904","1064","842","871","765","997","930","927"
"56","NM_001106300","1107","1126","1171","1086","1128","973","1077","1171","1118"
"57","NM_001108923","533","663","559","514","556","555","450","477","399"
"58","NM_201350","172","170","146","102","125","141","44","155","111"
"59","NM_032073","8","16","25","6","18","14","22","34","26"
"60","NM_134380","6347","5781","4634","3529","5978","4416","2205","1189","1001"
"61","NM_053823","119","394","331","140","81","146","118","205","172"
"62","NM_001100975","736","1058","936","1054","808","851","582","621","633"
"63","NM_001191562","0","0","0","0","0","0","0","0","0"
"64","NM_001024974","245","199","259","219","214","195","333","307","286"
"65","NM_001013152","3804","3648","4139","3045","3982","3304","4499","3805","3851"
"66","NM_001107585","848","1000","962","877","797","890","1450","1349","1456"
"67","NM_053773","1065","914","1031","1535","935","1040","1494","1774","1871"
"68","NM_001037793","1798","1694","1743","1461","1810","1555","882","1206","1361"
"69","NM_013155","86","93","76","81","76","144","52","32","48"
"70","NM_001354115","229","136","232","167","90","196","84","181","122"
"71","NM_133400","2004","2866","2563","1943","1801","1763","480","1396","1236"
"72","NM_001106359","0","0","0","0","0","0","2","0","0"
"73","NM_017365","1384","999","1056","2110","2128","2049","2045","1388","1153"
"74","NM_001135762","0","4","0","0","0","0","0","0","0"
"75","NM_134401","0","2","2","0","0","0","0","4","2"
"76","NM_017158","7062","8210","11191","2683","6493","12938","2178","4134","5663"
"77","NM_001007148","393","405","367","364","382","300","338","330","347"
"78","NM_001106367","0","0","0","0","0","0","0","0","0"
"79","NM_001107606","300","406","386","359","193","327","115","260","222"
"80","NM_001191563","4","4","7","4","6","6","2","2","8"
"81","NM_001191052","989","1073","1029","731","1004","985","551","460","672"
"82","NM_001047087","6472","6620","6496","7718","5839","5741","8393","9713","8260"
"83","NM_001099461","0","0","0","0","0","0","0","0","0"
"84","NM_001099457","0","0","0","0","0","0","0","0","0"
"85","NM_001108457","360","371","244","337","253","298","578","517","505"
"86","NM_030843","49","40","30","23","28","36","19","28","19"
"87","NM_001108901","58","49","56","32","34","20","10","16","20"
"88","NM_178346","0","0","0","0","0","0","0","0","0"
"89","NM_178345","1","1","2","0","2","1","2","1","4"
"90","NM_001107470","487","417","504","495","507","458","480","641","573"
"91","NM_001276762","7","7","11","22","46","58","4","18","10"
"92","NM_017011","0","0","0","0","0","0","0","0","0"
"93","NM_001114330","0","0","0","0","0","0","0","0","0"
"94","NM_214458","112","101","84","76","42","120","23","38","42"
"95","NM_001134425","97","83","74","269","215","302","106","88","77"
"96","NM_024137","224","132","163","304","134","286","158","242","118"
"97","NM_001135859","0","0","0","0","0","0","0","0","2"
"98","NM_001106264","398","319","394","367","365","383","513","478","425"
"99","NM_001277694","292","345","270","877","773","651","228","220","220"
"100","NM_001198638","2","0","0","1","1","1","1","2","0"
"101","NM_001106270","33","49","44","75","55","58","16","37","27"
"102","NM_001002277","200","187","126","175","170","134","171","275","225"
"103","NM_001029902","1404","1016","1410","793","746","756","317","750","760"
"104","NM_001109135","0","6","2","2","0","2","0","0","4"
"105","NM_001170575","418","437","488","649","388","430","395","348","404"
"106","NM_001195606","1822","1682","1579","1669","1876","1470","1383","1010","1384"
"107","NM_001001801","72","95","63","87","122","85","51","57","40"
"108","NM_019370","2974","3475","2253","3180","4525","3094","1629","1639","1831"
"109","NM_053535","2939","3003","3430","2432","1513","2332","1094","1722","1816"
"110","NM_021869","944","939","1111","741","895","759","701","701","863"
"111","NM_001107451","329","174","373","302","198","279","99","62","19"
"112","NM_021666","0","0","0","0","0","2","0","0","0"
"113","NM_001044295","16","19","15","3","12","5","17","18","12"
"114","NM_198051","177","121","133","150","188","216","246","231","259"
"115","NM_001100990","82","78","93","49","62","47","64","108","85"
"116","NM_001024285","38","36","46","2","2","0","0","0","0"
"117","NM_130428","11639","10803","11200","9377","10048","10132","6568","7057","5922"
"118","NM_001107454","51","30","72","45","48","76","46","68","44"
"119","NM_001107453","482","436","515","581","595","489","409","369","400"
"120","NM_012694","1","4","3","3","4","7","4","6","4"
"121","NM_133425","4","0","0","2","0","2","0","4","0"
"122","NM_057103","3","1","4","0","0","0","0","0","0"
"123","NM_001040128","1195","1225","1086","1866","1487","1383","594","738","881"
"124","NM_001108462","28","10","34","32","27","68","92","75","58"
"125","NM_001107459","0","0","2","0","0","0","0","0","0"
"126","NM_139094","1378","1305","1233","1229","1320","1311","1239","1328","1348"
"127","NM_001012061","356","342","397","495","464","358","495","474","524"
"128","NM_181474","226","224","197","279","258","266","360","406","345"
"129","NM_001004216","0","0","0","0","0","0","0","0","0"
"130","NM_001039343","56","46","87","50","46","68","12","25","24"
"131","NM_001127560","16","0","12","2","4","0","10","4","14"
"132","NM_001038615","51","29","72","33","36","99","12","34","23"
"133","NM_019230","4","8","2","4","0","4","4","10","4"
"134","NM_012756","2353","2372","2529","4467","3187","3165","2724","3903","3214"
"135","NM_001115021","627","572","655","593","608","538","313","421","503"
"136","NM_001077677","0","0","4","0","2","0","2","2","0"
"137","NM_022236","6","6","8","6","0","4","4","4","2"
"138","NM_001008302","516","471","508","504","466","512","818","664","599"
"139","NM_057128","67","82","78","42","62","60","52","49","50"
"140","NM_013217","2131","2290","2277","3210","2455","2632","1691","1535","1721"
"141","NM_001107464","30","82","78","335","169","198","197","203","164"
"142","NM_001106215","134","101","195","86","92","159","78","100","120"
"143","NM_001169138","245","240","325","108","129","226","146","208","254"
"144","NM_001004198","276","199","155","199","257","200","298","218","269"
"145","NM_133574","0","0","0","0","0","0","0","0","0"
"146","NM_001106214","0","0","0","0","0","0","10","12","6"
"147","NM_001113403","520","562","650","318","388","398","357","383","419"
"148","NM_001135720","32","33","35","19","20","23","26","23","21"
"149","NM_001169140","0","0","0","0","0","0","0","0","0"
"150","NM_001099469","0","0","0","0","0","0","0","0","0"
"151","NM_057140","3790","3594","3850","4690","4066","4151","3916","3883","3846"
"152","NM_001107467","88","109","110","146","100","89","71","106","75"
"153","NM_001099488","0","0","0","0","0","0","0","0","0"
"154","NM_001099489","0","0","0","0","0","0","0","0","0"
"155","NM_173318","0","0","0","0","0","0","0","0","0"
"156","NM_001099656","0","0","0","0","0","0","0","0","0"
"157","NM_001313942","7","15","15","18","12","3","10","20","20"
"158","NM_001006968","9","9","13","14","15","6","11","5","11"
"159","NM_001106220","0","0","0","0","0","0","0","0","0"
"160","NM_001107473","2","2","0","2","2","0","2","0","2"
"161","NM_001108465","97","85","54","139","74","101","56","66","72"
"162","NM_001134545","28","16","28","10","16","31","10","30","22"
"163","NM_001271115","0","2","0","0","0","0","5","7","2"
"164","NM_139261","452","465","451","618","427","448","1019","815","893"
