"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1373767_at",4.31261532962963,6.70131987,37.2795653377905,3.08397365236707e-28,9.59084966149635e-24,51.6195725465671
"1370177_at",4.56796115555556,5.75082029333333,31.7320734789367,5.04544376074402e-26,7.84541277576892e-22,47.5168840891705
"1380229_at",4.29374156666666,4.09943149,29.6374244511671,4.31584080834181e-25,4.47394444328739e-21,45.7102569717624
"1369519_at",2.51046286296296,4.22293039,23.9661120856249,3.18737443168776e-22,2.47810393627644e-18,39.9064713601928
"1385706_at",2.18991748148148,3.92907136666667,23.7616123113357,4.14948529013797e-22,2.58089686076001e-18,39.6679627653192
"1367764_at",2.91006527037037,7.90103225666667,23.222085857489,8.40467395880237e-22,4.35628259074658e-18,39.0275502757903
"1396236_at",2.32003585925926,3.73673026,22.5706464272037,2.00995569529527e-21,8.92965888114109e-18,38.2320428377483
"1368072_at",3.4652695037037,6.34149311333333,21.5962013124908,7.72711468211107e-21,3.00381924373715e-17,36.9943626543823
"1397564_at",2.10977622592593,4.15871446333333,21.2232991870444,1.31205249254621e-20,4.53372449618829e-17,36.5048788087463
"1387269_s_at",2.40684496666667,4.34837036333333,20.3002671490093,5.04127232417084e-20,1.56778528009389e-16,35.2534967355277
"1371785_at",3.83396440370371,6.21159837,19.9675969504785,8.29565552777064e-20,2.34533264780127e-16,34.7880483953662
"1369921_at",4.3664161962963,6.72807742333333,19.3535682785029,2.11986511755656e-19,5.49380710757428e-16,33.9079349927989
"1381533_at",2.61131126666667,4.67727489333333,19.1927607662195,2.72160865603702e-19,6.51071596877656e-16,33.6728175999838
"1378499_at",2.09821942962963,5.57847654666667,19.0916080267963,3.18771783929001e-19,6.64029242408742e-16,33.5239170067474
"1378883_at",2.1464274962963,4.48491215333333,19.0885913569401,3.20281637227278e-19,6.64029242408742e-16,33.5194643642396
"1394564_at",2.34090912222222,4.49707862333333,18.9199599387465,4.1752623762602e-19,8.11540528995726e-16,33.2694502632296
"1383288_at",2.12740416666666,7.80975658333333,18.8102461791921,4.96668070227407e-19,9.0858119505895e-16,33.1056065561505
"1389409_at",2.83921936296296,6.08814724,18.5246709416014,7.83462498102699e-19,1.35360556824977e-15,32.6747081478692
"1391187_at",2.40246827407407,4.71133918666667,18.280728128612,1.16180831822056e-18,1.86041542183712e-15,32.3014810613434
"1370363_at",-3.13166285185185,11.7122479,-18.2626462076171,1.19644710237443e-18,1.86041542183712e-15,32.2736247742832
"1384427_at",3.00594728518518,7.83034977666667,18.1107837772941,1.53272991758368e-18,2.26982703366356e-15,32.0386185346288
"1386977_at",-3.41694766666668,12.8783719,-17.9520787300781,1.98922220390498e-18,2.81194642360186e-15,31.7909958420051
"1390317_at",3.01948395185185,4.92144601,17.7928029445166,2.58904125882692e-18,3.50072148296775e-15,31.5403748053419
"1367896_at",-1.87530155555556,13.7916474,-17.6669491260918,3.19281148351145e-18,4.13721851357177e-15,31.3408333297428
"1370615_at",2.68348238518518,4.55017762,17.4869712424232,4.31799807864332e-18,5.37141688990914e-15,31.0531348584962
"1387981_at",-3.14424641481481,8.79433550666667,-17.1676123856031,7.42424609366198e-18,8.88025497179977e-15,30.5357376058229
"1384899_at",1.90709284814815,4.06470003666667,17.0967685987987,8.38193841803562e-18,9.65444084675888e-15,30.4197502878334
"1391636_at",2.20558128148148,4.02857684666667,16.8289365960542,1.33092715359062e-17,1.47823226962552e-14,29.9772043193866
"1373554_at",1.94994544814814,5.14078979666667,16.7646244929871,1.48851878997638e-17,1.59625675343018e-14,29.8699776635074
"1370153_at",2.72419582592592,5.87318995666667,16.6083856614521,1.956346717179e-17,2.02801421858499e-14,29.6079118647131
"1391032_at",-3.8558586962963,9.16950742666667,-16.4527782354976,2.5736197113209e-17,2.58183869039899e-14,29.3446718657989
"1374031_at",1.30437026666667,5.83369426,16.3816452048534,2.91934768465052e-17,2.83714980140458e-14,29.2235871798819
"1387028_a_at",2.88708044074074,6.73501093666667,16.1321006936157,4.55850909702778e-17,4.25485649455614e-14,28.795042419206
"1383034_at",1.41909511481481,5.75115089666667,16.1208325484025,4.65176117607989e-17,4.25485649455614e-14,28.775552198532
"1374143_at",2.40878796296296,6.68944533333333,15.9663735199412,6.14693018770451e-17,5.46181091164064e-14,28.507162017707
"1385132_at",3.97788029259259,4.89735907,15.7447904553861,9.2025226367598e-17,7.94970143001647e-14,28.1181053521432
"1376664_at",1.52730116666667,7.38589295,15.602331401054,1.19561311418285e-16,1.00492897940466e-13,27.8654336212849
"1382490_at",-2.72947279259259,7.83761754666667,-15.4015341275642,1.73459022453175e-16,1.41957951033455e-13,27.5058652505518
"1383906_at",2.68843585185185,6.26650573333333,15.3636220914804,1.86161907552719e-16,1.47509182082892e-13,27.4375220083431
"1367584_at",2.23764047037037,8.21899857666667,15.3534543016189,1.89728521280931e-16,1.47509182082892e-13,27.4191680667039
"1385109_at",2.2126526037037,5.88947332333333,15.2999021269784,2.09705574757852e-16,1.59064235838889e-13,27.3223280129925
"1379611_at",1.67843106296296,4.44026987666667,15.2399690807597,2.34642064705405e-16,1.737412754827e-13,27.2136039797951
"1371412_a_at",-3.27642696296296,11.3515499333333,-15.0024821351494,3.6745925573462e-16,2.65758497536998e-13,26.7791642799236
"1372211_at",2.06266077407408,7.28366463666667,14.936049459848,4.16984344927475e-16,2.94722639611353e-13,26.6565945403342
"1381900_at",1.25077341111111,3.75451179666667,14.542590037625,8.89512747158854e-16,6.14732376086515e-13,25.9211437328038
"1373989_at",1.70923216296296,7.34347905333333,14.3921614290543,1.19316828206738e-15,8.06659574000291e-13,25.6355998564157
"1387328_at",-2.90432851851853,13.3549056666667,-14.3288861343695,1.35097597657343e-15,8.78261012787458e-13,25.5147586597966
"1382921_at",1.55369086296296,6.16446915666667,14.3271638601261,1.35555897661655e-15,8.78261012787458e-13,25.5114634233036
"1371719_at",2.31095749259259,7.71900792333333,14.3108319633718,1.39981946608227e-15,8.88428277054951e-13,25.4801994444959
"1369296_at",-1.80433775925926,12.4348054833333,-14.1490615378049,1.92717022233061e-15,1.19866133488519e-12,25.1689466348824
"1383401_at",2.9057481037037,7.13070137333333,14.0613548108273,2.29448163924842e-15,1.37617258107029e-12,24.9989898282314
"1383485_at",2.4842605,6.55808588333333,14.0599166153375,2.30106994487459e-15,1.37617258107029e-12,24.9961958083607
"1394039_at",1.39520351111111,3.41388237333333,13.9073827658048,3.12266993681969e-15,1.83230023330482e-12,24.6985551953686
"1370893_at",-1.77572737037037,9.5566493,-13.8901043969386,3.23304865301138e-15,1.86193666777779e-12,24.6646755581303
"1398618_s_at",2.08702835185185,8.46049398333333,13.7617802054229,4.18870870453965e-15,2.34142436509425e-12,24.4120029183111
"1376001_at",1.65019521481482,6.79482997333333,13.7585490829857,4.21620516560911e-15,2.34142436509425e-12,24.4056167412817
"1371498_at",1.59719461111111,7.54386185,13.7084348212355,4.66719039934922e-15,2.54640270577827e-12,24.3064161959399
"1387060_at",3.68626937407407,7.55639589666667,13.6658276796101,5.08942705226757e-15,2.7288981361805e-12,24.2218510427258
"1384331_at",2.96874662592592,7.02586270333333,13.6033514388603,5.78061652868638e-15,3.04697276992572e-12,24.09747538965
"1368490_at",-2.65987009259259,10.1115420833333,-13.5907752083481,5.93101132652061e-15,3.07414202072441e-12,24.072384980904
"1385687_at",2.03898898148148,5.25882491666667,13.5411636162991,6.56453281389275e-15,3.34672796687296e-12,23.9732293714504
"1380546_at",-1.79769628148148,9.21379085333333,-13.5139090447191,6.94169647777521e-15,3.48193256068276e-12,23.9186367726951
"1386466_at",1.11982137777778,3.30973182666667,13.4925270215028,7.25310540020086e-15,3.58038610858487e-12,23.8757472629994
"1372016_at",3.10084685925926,5.61208282666667,13.4501928542885,7.91262610285986e-15,3.8449181120756e-12,23.7906746038064
"1388155_at",1.90915285185185,10.8370744333333,13.4273468146711,8.29378690639045e-15,3.90334797259567e-12,23.7446780804808
"1372510_at",2.75086693703703,7.92043409,13.4229825241843,8.36871618879656e-15,3.90334797259567e-12,23.7358844525924
"1368452_at",-1.75387783333333,9.88791205,-13.4206289200763,8.40941233364127e-15,3.90334797259567e-12,23.7311412476261
"1368078_at",2.18671215555556,3.94907739333333,13.404519156351,8.69346983249097e-15,3.97585615177407e-12,23.6986580577877
"1370309_a_at",1.19435964814815,11.0076164833333,13.3858731747464,9.0345656387515e-15,4.07197038839903e-12,23.6610232538373
"1370583_s_at",4.01162088888889,6.5278287,13.286766540539,1.10922913177841e-14,4.92798810988242e-12,23.4603073468627
"1368860_at",2.30113772962963,4.45371467666667,13.2508506558146,1.19517299557963e-14,5.23502605486352e-12,23.3872849273158
"1395998_at",1.58683240740741,5.67775163333333,13.2209530277275,1.2719100092645e-14,5.49376796918287e-12,23.3263829967937
"1388986_at",3.5100697925926,6.54864152,13.1783177714262,1.39017605523678e-14,5.92234043038474e-12,23.2393523035512
"1368489_at",2.28950879629629,5.16143828333333,13.1276373778279,1.54554841648863e-14,6.49527164924054e-12,23.1356200799088
"1383238_at",1.12289965555555,5.39441064333333,13.1202710836611,1.56957018795157e-14,6.50827510334744e-12,23.1205175163814
"1370314_at",2.39499021851852,8.20412580333333,13.0936632835305,1.65957460579983e-14,6.79093561391697e-12,23.0659119593706
"1367956_at",2.19103908148148,5.32132362666667,13.0804043575124,1.70638328721946e-14,6.89179400639456e-12,23.0386701221684
"1371936_at",1.17923385185185,11.1343033666667,12.991900170356,2.05554734773535e-14,8.19557268810534e-12,22.8562933373273
"1370080_at",2.07396973333333,8.23693557333333,12.78217125199,3.2065751972042e-14,1.26229470959308e-11,22.4203680824846
"1379376_at",-1.26418227777778,11.4899433833333,-12.7426041819627,3.48911875629697e-14,1.35635130252599e-11,22.337532233102
"1382178_at",1.39549024814815,5.46872681,12.7152365298561,3.69936985195499e-14,1.42032966698702e-11,22.2801253963479
"1372809_at",1.39062954444444,3.74697331,12.6997973214857,3.82366677303993e-14,1.4400597088803e-11,22.2476996912243
"1388754_at",1.95358167037037,8.03730316333333,12.6973972875858,3.84336974941524e-14,1.4400597088803e-11,22.2426564919332
"1386890_at",2.21569644444444,8.2558212,12.6812694679356,3.97849764109573e-14,1.47294402548138e-11,22.2087488593588
"1374765_at",-1.827037,10.4464809666667,-12.6293036748,4.44796189690759e-14,1.62737843566975e-11,22.0992786187914
"1388588_at",1.63189582592592,7.25036292333333,12.5974998859126,4.76293275450258e-14,1.72235402014274e-11,22.0321185470303
"1370902_at",4.16917302962963,5.63420610666667,12.5856791727952,4.88574798797492e-14,1.74645835262106e-11,22.0071251778568
"1377163_at",1.89124835925926,4.26893134333333,12.4905490332877,6.00020705182097e-14,2.12045953527932e-11,21.8053602525095
"1388416_at",-1.219835,10.4459548333333,-12.3972587319654,7.34711748952526e-14,2.5672809753567e-11,21.6064141189514
"1368609_at",-0.996907777777782,12.6692011666667,-12.3883850253717,7.49041126184734e-14,2.58826999813545e-11,21.5874344088886
"1377048_at",-2.0319318,9.90510848666667,-12.336453581799,8.38838791647635e-14,2.86670852543404e-11,21.4761637846613
"1383818_at",1.95543827037037,5.69863512333333,12.2927632259863,9.22898650007948e-14,3.11969838223882e-11,21.3822910525414
"1388560_at",1.4813432,8.26147878666667,12.2716074156263,9.66656631007735e-14,3.23247898577522e-11,21.3367503395794
"1387969_at",2.84580555185185,5.58911833666667,12.2560494848536,1.00018809213181e-13,3.30902654012841e-11,21.3032241507435
"1393508_at",-4.51345557407407,7.71269441666667,-12.1799447998193,1.18223326691299e-13,3.87013393344497e-11,21.138787717655
"1371351_at",1.33830444444445,8.65479,12.1704973265541,1.20708802811159e-13,3.91033651940026e-11,21.1183242611038
"1389862_at",1.09594425555556,6.99989017,12.1536576533383,1.25272609687807e-13,4.01634318420733e-11,21.0818213155915
"1374797_at",1.24463242962963,7.86513681333333,12.0850330674358,1.4577639310646e-13,4.62602045838552e-11,20.9326964468984
"1372218_at",1.43327158518518,6.98326124,12.0788110843912,1.47797776015173e-13,4.6427909457534e-11,20.9191463941313
"1369122_at",1.52243452962963,7.55733742333333,12.0569409296715,1.55133574868187e-13,4.82449904482576e-11,20.8714794158382
"1371400_at",-2.12659420370371,11.9132471166667,-11.9923945705319,1.79035905267283e-13,5.51271051277945e-11,20.7304449312898
"1376098_a_at",2.27012849629629,7.99443935333333,11.9671728545076,1.8937258530563e-13,5.77382159845078e-11,20.675191709343
"1368779_a_at",-1.97107225925926,7.5991678,-11.9014389398501,2.1928296285073e-13,6.54333676547548e-11,20.5308083812524
"1368363_at",1.67037867037037,3.88877883,11.8998018951924,2.20086726847899e-13,6.54333676547548e-11,20.5272056212774
"1395557_at",3.75921455185185,5.69777790333333,11.898103872454,2.20923618243328e-13,6.54333676547548e-11,20.5234683015424
"1398849_at",1.40001003703703,11.1950739666667,11.8441706912514,2.4927243648263e-13,7.31332405865407e-11,20.4045708195709
"1377013_at",-1.94970611851852,9.58631307333333,-11.8387886831845,2.52298590187073e-13,7.33292883759605e-11,20.3926856129466
"1369590_a_at",2.71716638148148,7.16833825666667,11.8305827179029,2.56985163300181e-13,7.39998295691884e-11,20.3745570686986
"1393373_at",1.94062834814815,4.89754548666667,11.7896415996014,2.81734824104343e-13,8.03823054570731e-11,20.2839815170619
"1388507_at",1.05742003703703,9.4889303,11.7459041356838,3.10883555765583e-13,8.7892433643217e-11,20.1869820447516
"1374139_at",1.80363979629629,6.10709621666667,11.7280138545864,3.23680170337009e-13,9.06858524082041e-11,20.1472347682142
"1371530_at",2.03411788888889,10.1958322333333,11.6725867221583,3.6685809714651e-13,1.01865356813922e-10,20.02382941979
"1373587_at",1.57678699629629,5.14802190333333,11.6516824004134,3.84636451049203e-13,1.05856716736099e-10,19.9771842877783
"1384254_at",2.48672375555556,7.18863362,11.5870751555896,4.45365148447204e-13,1.21494831154031e-10,19.8326651291016
"1367827_at",1.12396127777777,9.69271285,11.5721872600479,4.60700416488424e-13,1.24585410890204e-10,19.7992859871626
"1369268_at",4.96263356666666,5.58337012333333,11.5099990208351,5.30834976045912e-13,1.42314111379757e-10,19.6595470528535
"1372354_at",1.95408249629629,6.83013608666667,11.4998469760623,5.43282215435087e-13,1.44406270237742e-10,19.6366873876532
"1371684_at",2.03499449629629,7.94088278666667,11.4640859542087,5.89558821442041e-13,1.5537872701717e-10,19.5560563919364
