"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1384408_at",1.33003970314815,6.56918869361702,9.14777996229773,3.30818979831824e-12,6.61406420504908e-08,17.3608389159111
"1378027_at",-0.590386150925925,9.78059177659575,-8.96016191430361,6.31118507143103e-12,6.61406420504908e-08,16.759619354246
"1371781_at",0.683638365740741,8.64902610212766,8.95700576013555,6.38033139816304e-12,6.61406420504908e-08,16.7494690500341
"1369012_at",-0.757975009814815,6.21780775744681,-8.81266808529863,1.0512873839677e-11,8.17349658850286e-08,16.2840173966577
"1388874_at",0.641016406481482,10.8115254574468,8.70955397996246,1.50382154281278e-11,9.35346923198696e-08,15.9500258195741
"1395403_at",-2.949794015,9.63971050425532,-8.45918057193506,3.60151451949056e-11,1.86672500069395e-07,15.1341648966003
"1370698_at",1.22295044074074,11.6793762021277,8.30343516009873,6.21758030525249e-11,2.7622932844721e-07,14.6233446131905
"1391570_at",1.15151543055556,5.8531309106383,7.94587004427132,2.19368365965617e-10,8.52767101645591e-07,13.441869086519
"1380805_at",-0.520333951851852,4.01058134893617,-7.77757793133886,3.98312505005047e-10,1.37634673257244e-06,12.882023305425
"1386944_a_at",-1.33133354814815,11.9468887340426,-7.70779844707754,5.10334749368053e-10,1.45354280760432e-06,12.6492628600228
"1367850_at",-0.919158978703703,7.41116922340426,-7.68803576471184,5.47469601473528e-10,1.45354280760432e-06,12.5832781072435
"1377092_at",1.16049563981482,6.93479121702128,7.68123300933528,5.60870564688636e-10,1.45354280760432e-06,12.5605583824826
"1388185_at",-0.83525675,7.08950199574468,-7.60661223161714,7.3137383788196e-10,1.74961499879162e-06,12.3111347735653
"1390923_a_at",-0.581000562037037,7.53568145531915,-7.52692098304824,9.71373616524254e-10,2.15776772144913e-06,12.0443631773995
"1370147_at",-1.1114062287037,6.23621218297872,-7.45865590835778,1.23898561120581e-09,2.33384997595624e-06,11.8155342625398
"1368905_at",1.66325480981482,8.3972187893617,7.45130052276055,1.27191597139169e-09,2.33384997595624e-06,11.7908624547491
"1370816_at",2.76036797777778,6.73194919361702,7.45045023223969,1.27577895081051e-09,2.33384997595624e-06,11.7880101706114
"1388741_at",-0.877250703333333,5.24274676170213,-7.34200650344666,1.87866754968347e-09,3.2458156737559e-06,11.4239177107161
"1390107_at",-1.09543059240741,6.28264382978723,-7.25907628644955,2.52645652856447e-09,3.89591439391433e-06,11.1450880306804
"1372136_at",-0.507949572222222,9.27923196808511,-7.25023241170652,2.60758592203212e-09,3.89591439391433e-06,11.1153343710543
"1395536_at",-0.839960082037037,5.59159751489362,-7.24775615957047,2.63076633564426e-09,3.89591439391433e-06,11.1070028425936
"1369698_at",1.81109630703704,6.09401404255319,7.21613277212602,2.94561205608178e-09,4.16389042418578e-06,11.0005805614133
"1369772_at",0.744083824814816,6.9614614,7.18987446079053,3.23556269808689e-09,4.29090876290821e-06,10.9121818088201
"1390255_at",1.25653601351852,6.60184365744681,7.16640716172539,3.51882267371688e-09,4.29090876290821e-06,10.8331558213794
"1390801_at",-0.888418730925926,5.42255610212766,-7.16321792654801,3.55918986847562e-09,4.29090876290821e-06,10.822414451845
"1374925_at",0.621335644259258,5.72788298723404,7.16101292907416,3.58737026385458e-09,4.29090876290821e-06,10.8149877772479
"1390549_at",-0.869127934814815,8.97694514042553,-7.14949331050183,3.73827000111218e-09,4.3057947690588e-06,10.7761854645817
"1384098_at",-1.50004738518518,9.79540814893617,-7.11510766495587,4.22759833644709e-09,4.69550288089885e-06,10.6603332004323
"1388978_at",-0.394179935185185,10.1389835425532,-7.08283477617357,4.74510076625639e-09,4.9279824159473e-06,10.5515619754667
"1391981_at",-0.664308532407407,6.80731562553192,-7.08232096417168,4.75383364347468e-09,4.9279824159473e-06,10.5498299657343
"1393550_at",-0.85392833537037,7.1413043106383,-7.04809700899053,5.37326837307841e-09,5.2475881355489e-06,10.4344456368888
"1380251_at",-0.872745305185186,4.58309030425532,-7.03665921447932,5.59781646583898e-09,5.2475881355489e-06,10.3958757442277
"1383542_at",-0.406322774444444,5.32700863617021,-7.02581748812113,5.81933252048411e-09,5.2475881355489e-06,10.3593123650887
"1383486_at",-1.21905691611111,8.93467028723404,-7.02434836889215,5.85001708531405e-09,5.2475881355489e-06,10.3543575489656
"1375215_x_at",-0.933866731481483,10.2750313829787,-7.02169555682753,5.90583570996532e-09,5.2475881355489e-06,10.3454104043001
"1387788_at",0.931947905185185,7.07608069148936,6.97869553462698,6.88872907655296e-09,5.92241381565562e-06,10.2003576046612
"1371840_at",-0.887466985185185,11.0944681595745,-6.96735960907734,7.17408714264207e-09,5.92241381565562e-06,10.162110008874
"1368718_at",2.12918260092593,10.6426617234043,6.96493573047135,7.23662256004738e-09,5.92241381565562e-06,10.1539313986347
"1378029_at",-0.908090866111112,8.33008946595745,-6.92061263645788,8.48138666751757e-09,6.76314471725971e-06,10.0043535072116
"1390145_at",-1.07019720888889,7.5821526212766,-6.89544440643183,9.28138280005822e-09,7.21604309247527e-06,9.91939945488099
"1390832_at",-0.88032910462963,8.254138,-6.87011813571551,1.01626488922117e-08,7.70849311948518e-06,9.83390001369112
"1370725_a_at",-1.54378576666667,10.7738895531915,-6.85570520566319,1.07010593242737e-08,7.78892427095263e-06,9.78523825738269
"1381186_at",-0.408963132592593,4.01681312765957,-6.85392273632328,1.07695984967672e-08,7.78892427095263e-06,9.7792199526436
"1389113_at",-0.711539676666667,6.81199772553192,-6.83974260512156,1.13307298639694e-08,8.00850836453598e-06,9.73134063879805
"1398597_at",-0.739897057777777,6.24496326595745,-6.79227653838498,1.34306891018367e-08,9.12340562827524e-06,9.57105136025255
"1370613_s_at",0.502941075000001,12.7347854787234,6.78859043526592,1.36092031941109e-08,9.12340562827524e-06,9.558602559339
"1373690_at",0.450051513148149,5.81018843404255,6.78494206091482,1.3788226776711e-08,9.12340562827524e-06,9.54628103842814
"1371598_at",-0.434537075925926,10.7027785319149,-6.77595872101841,1.42391379057413e-08,9.22547811938849e-06,9.51594137105122
"1387022_at",1.44469190648148,10.8417150319149,6.74427149669623,1.5950682063728e-08,1.01234747244873e-05,9.40891765280957
"1389744_at",-0.425266969999999,8.03408763191489,-6.73364652117991,1.6569460418419e-08,1.03058729910482e-05,9.37303010316565
"1378925_at",-0.553494237037038,10.0684035744681,-6.72137484365023,1.73140668046689e-08,1.05578463442823e-05,9.3315797273695
"1392640_at",-1.85796928185185,6.69877962553192,-6.70179003691329,1.85723224879673e-08,1.1107320327948e-05,9.26542612141828
"1382266_at",0.872552678703704,7.77230530851064,6.67453058983883,2.04772251921825e-08,1.19731965448874e-05,9.17334710981535
"1384143_at",-0.896935404444444,7.72745110425532,-6.67029653299191,2.07901415937465e-08,1.19731965448874e-05,9.15904488039064
"1373110_at",-1.11229586203704,7.96924094893617,-6.66026297996344,2.15508820517346e-08,1.19796379818579e-05,9.12515248133333
"1383439_at",-1.29482286666667,7.19894021276596,-6.65999281593927,2.15717459398708e-08,1.19796379818579e-05,9.12423989245049
"1374493_at",-0.739104175555555,7.62376184042553,-6.63943529305381,2.32200028531173e-08,1.26687520829666e-05,9.0547986507224
"1395983_at",-0.820164757592593,6.43988661276596,-6.62072787368708,2.48290422083229e-08,1.3313075579942e-05,8.99160754447414
"1373515_at",-1.11045093537037,7.74865845744681,-6.60726098952364,2.60558651475503e-08,1.37340906817571e-05,8.94611896954081
"1387669_a_at",0.661531203703703,12.7053409361702,6.55065432246485,3.19107390994167e-08,1.59670316015684e-05,8.75492402969835
"1377103_at",0.534666642777778,7.79553074255319,6.5502472849904,3.19572787028889e-08,1.59670316015684e-05,8.75354930963537
"1378126_at",0.525681327962964,6.20865811914894,6.54968104191539,3.20221342272663e-08,1.59670316015684e-05,8.75163689446089
"1372452_at",-1.00452291018519,10.7741726276596,-6.54687191544889,3.23458307630087e-08,1.59670316015684e-05,8.74214946699335
"1370224_at",0.583413028703704,9.68967315957447,6.52965353461545,3.44025537494891e-08,1.671695342274e-05,8.68399859275153
"1372832_at",-0.637457629444444,8.3878759787234,-6.51015506396112,3.68897342116433e-08,1.76497514499676e-05,8.61815136847551
"1373068_at",0.446966952777777,8.44610272553192,6.49582064241814,3.88319900905126e-08,1.82975160579523e-05,8.5697465144269
"1390430_at",1.90929773333333,7.97360798723404,6.48808387327038,3.99223763025936e-08,1.85305370243934e-05,8.54362199912503
"1384262_at",-1.02146104537037,10.3532865957447,-6.4554054331764,4.48754130519979e-08,2.05232422132953e-05,8.43328814875624
"1391032_at",-0.953411321296295,9.14938635106383,-6.44924121697527,4.58762906383425e-08,2.05271802127569e-05,8.41247766088708
"1388271_at",2.66317332037037,11.3733768723404,6.44725119602448,4.62041420911599e-08,2.05271802127569e-05,8.4057594696948
"1388953_at",0.654303318518519,9.51716742553191,6.42384883238976,5.02396253709244e-08,2.17946934462533e-05,8.32676027018975
"1387506_at",0.950860994074075,7.86726242553191,6.415806817804,5.17060830909599e-08,2.17946934462533e-05,8.29961548298904
"1383946_at",-1.15833103129629,7.24817057446809,-6.41333840850041,5.21647065856693e-08,2.17946934462533e-05,8.29128396335664
"1387759_s_at",0.647085337037037,11.9463264255319,6.41322152229229,5.21865240904072e-08,2.17946934462533e-05,8.29088944547998
"1396545_at",-0.593014291481481,5.63542027446809,-6.41122157425654,5.2561240183575e-08,2.17946934462533e-05,8.2841392066831
"1378745_at",1.44577379814815,5.61878184468085,6.38499146677416,5.77316082713064e-08,2.34583017939088e-05,8.19561562035407
"1368698_at",-0.903017340555555,5.39400035744681,-6.38330009997241,5.80819073967322e-08,2.34583017939088e-05,8.18990801394006
"1368434_at",-0.579369758333333,6.6276041106383,-6.37050502130623,6.08015089591186e-08,2.42418734246106e-05,8.14673266767785
"1373810_at",1.54275398259259,7.57724476382979,6.36065978645844,6.29802842041101e-08,2.47927070691597e-05,8.11351406587721
"1370019_at",-0.440921053703703,12.5368957234043,-6.347265638168,6.60700147255487e-08,2.5683892349373e-05,8.06832534194131
"1370365_at",0.484634739814814,8.78466923404255,6.32570781103671,7.13635023330509e-08,2.73991797414266e-05,7.99560495781959
"1392157_at",-0.627722445555556,7.5212177212766,-6.29694017322074,7.90917575105286e-08,2.99960313026821e-05,7.89858592664511
"1373787_at",0.705302231851852,8.45340365744681,6.28886655256016,8.14069114103931e-08,3.05020908186966e-05,7.87136239001886
"1371076_at",1.73182187314815,11.5223773297872,6.27650643247959,8.50828007280907e-08,3.14998811886059e-05,7.82968942976012
"1381428_a_at",-0.810462029629629,9.99108067021277,-6.26253456536655,8.94376276371637e-08,3.27225974339783e-05,7.78258878994058
"1382680_at",-0.916665018703704,6.54784558297872,-6.24597983457138,9.48859388325881e-08,3.43123001366821e-05,7.7267902324804
"1370916_at",-0.35169910962963,8.29398443404255,-6.23390229894938,9.90683170085556e-08,3.49770224307229e-05,7.68608881715039
"1387693_a_at",0.993524712407408,6.82101846595745,6.23169398691336,9.98526759291442e-08,3.49770224307229e-05,7.67864739529421
"1380863_at",-0.467214220185185,4.99358182340426,-6.22894705016563,1.008369889851e-07,3.49770224307229e-05,7.66939121975392
"1370642_s_at",-0.599342386851852,6.90223633829787,-6.22787727491189,1.01222933816684e-07,3.49770224307229e-05,7.66578654782362
"1379226_at",-0.72220662425926,7.87602719148936,-6.22433693971374,1.02510715397295e-07,3.5026279173968e-05,7.65385750054653
"1371571_at",0.484534512962963,11.1519914361702,6.22132795255849,1.03618048297535e-07,3.5026279173968e-05,7.64371920818374
"1370381_at",-0.821151024074074,10.267543106383,-6.21339205657186,1.06596035357428e-07,3.56454849847381e-05,7.61698225834534
"1387187_a_at",-0.61964427148148,8.41038706808511,-6.19623363733489,1.13329564793354e-07,3.73687119658858e-05,7.55918248811287
"1381350_at",-0.702218747777777,7.2324055893617,-6.19420673840195,1.14152469107018e-07,3.73687119658858e-05,7.55235550960332
"1370541_at",1.78519988592593,7.599598,6.19118389806408,1.15390790303545e-07,3.73806061213536e-05,7.54217434131057
"1383633_at",-0.487037451851852,8.69822477234043,-6.18185518329274,1.19297358324113e-07,3.82477169744495e-05,7.51075699442217
"1376867_at",-1.28920594314815,6.25747187446809,-6.17694009068015,1.21408359236733e-07,3.83777583036554e-05,7.49420543843249
"1393822_at",-0.769693008888889,6.17202964893617,-6.17518516768745,1.22171068910958e-07,3.83777583036554e-05,7.48829600350962
"1398710_at",-0.450550037777778,6.48804005744681,-6.15252788172874,1.32457583507801e-07,4.11929838950909e-05,7.41201369682543
"1382003_at",-0.540312873518519,6.79216684680851,-6.14289088008812,1.3709020140243e-07,4.22115660734076e-05,7.3795752358276
"1371777_at",0.397699290740742,9.54635,6.13452067454759,1.41244587910334e-07,4.30643670531713e-05,7.35140448805079
"1398528_at",-0.776318873333333,5.16965867659574,-6.12444263182635,1.46413306903252e-07,4.42068682658664e-05,7.31749042177875
"1387805_at",0.431386043518519,9.4318150106383,6.06921746229713,1.78266625192395e-07,5.3306863239022e-05,7.13174310165707
"1371161_at",-1.33814469296296,7.9587044893617,-6.03550037936976,2.01014457134228e-07,5.95366533563557e-05,7.01842003757276
"1398698_at",-0.704456129444443,8.0362872787234,-6.01850583361712,2.13552636205527e-07,6.26535229561858e-05,6.96132679979749
"1372024_at",0.406852658333334,7.59542415744681,6.00722576175879,2.22301446339299e-07,6.46107727075314e-05,6.92344111188207
"1392245_at",-0.815995189814815,7.17877381914894,-6.00207081362638,2.26417460317393e-07,6.4689107354336e-05,6.90613014453727
"1397755_at",-0.320410765555556,4.29492924893617,-6.00168174986773,2.26731171472479e-07,6.4689107354336e-05,6.90482368717746
"1388348_at",-0.337110097222221,12.5002246170213,-5.99278577271016,2.34023376499078e-07,6.61626635067712e-05,6.8749540466475
"1387994_at",-1.1257757712963,11.2378227765957,-5.98596467232289,2.39772391709918e-07,6.71773117998805e-05,6.85205456542784
