"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1384408_at",1.33003970314815,6.56918869361702,9.14777996229773,3.30818979831824e-12,6.61406420504908e-08,17.3608389159111
"1378027_at",-0.590386150925925,9.78059177659575,-8.96016191430361,6.31118507143103e-12,6.61406420504908e-08,16.759619354246
"1371781_at",0.683638365740741,8.64902610212766,8.95700576013555,6.38033139816304e-12,6.61406420504908e-08,16.7494690500341
"1369012_at",-0.757975009814815,6.21780775744681,-8.81266808529863,1.0512873839677e-11,8.17349658850286e-08,16.2840173966577
"1388874_at",0.641016406481482,10.8115254574468,8.70955397996246,1.50382154281278e-11,9.35346923198696e-08,15.9500258195741
"1395403_at",-2.949794015,9.63971050425532,-8.45918057193506,3.60151451949056e-11,1.86672500069395e-07,15.1341648966003
"1370698_at",1.22295044074074,11.6793762021277,8.30343516009873,6.21758030525249e-11,2.7622932844721e-07,14.6233446131905
"1391570_at",1.15151543055556,5.8531309106383,7.94587004427132,2.19368365965617e-10,8.52767101645591e-07,13.441869086519
"1380805_at",-0.520333951851852,4.01058134893617,-7.77757793133886,3.98312505005047e-10,1.37634673257244e-06,12.882023305425
"1386944_a_at",-1.33133354814815,11.9468887340426,-7.70779844707754,5.10334749368053e-10,1.45354280760432e-06,12.6492628600228
